,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
61,Corinthians,36,27.4,48.8,38,418,3420,38,45,28,73,39,6,7,91,3,40.5,35.1,27.0,62.1,643,1375,1.18,0.74,1.92,1.03,1.76,1.07,0.71,1.78,0.92,1.63,19,11,5,3,28,14,14,38,2.0,34.9,17.2,17.7,0.93,19,6,6,7,21,21,0,24,1.26,22.9,25.6,-2.6,-0.14,455,156,34.3,11.97,4.11,0.09,0.25,19.2,18,2023,brasil,brasileirao
62,Coritiba,47,27.1,43.9,38,418,3420,38,40,25,65,32,8,9,124,5,39.3,32.2,25.6,57.8,551,1147,1.05,0.66,1.71,0.84,1.5,1.03,0.67,1.71,0.85,1.52,19,13,4,2,33,18,15,43,2.26,28.6,17.9,10.7,0.56,19,3,4,12,18,29,-11,13,0.68,21.4,30.7,-9.4,-0.49,420,140,33.3,11.05,3.68,0.08,0.23,20.3,30,2023,brasil,brasileirao
63,Cruzeiro,38,27.8,51.5,38,418,3420,38,32,26,58,30,2,4,101,4,48.2,45.0,35.2,80.2,636,1650,0.84,0.68,1.53,0.79,1.47,1.27,0.93,2.2,1.19,2.11,19,10,8,1,33,19,14,38,2.0,32.5,19.0,13.5,0.71,19,4,6,9,18,24,-6,18,0.95,18.6,27.6,-9.0,-0.47,525,162,30.9,13.82,4.26,0.06,0.19,19.2,28,2023,brasil,brasileirao
64,Cuiabá,30,28.1,43.8,38,418,3420,38,39,24,63,32,7,8,91,3,38.7,32.7,24.8,57.5,577,1361,1.03,0.63,1.66,0.84,1.47,1.02,0.65,1.67,0.86,1.51,19,9,5,5,30,21,9,32,1.68,25.3,20.7,4.6,0.24,19,6,5,8,16,24,-8,23,1.21,17.1,26.5,-9.4,-0.5,440,131,29.8,11.58,3.45,0.07,0.24,20.1,16,2023,brasil,brasileirao
65,Flamengo,32,26.7,57.4,38,418,3420,38,55,39,94,47,8,9,85,5,50.0,43.0,34.4,77.3,713,1953,1.45,1.03,2.47,1.24,2.26,1.32,0.9,2.22,1.13,2.04,19,9,6,4,28,20,8,33,1.74,32.5,17.5,15.0,0.79,19,6,3,10,17,24,-7,21,1.11,19.0,26.2,-7.2,-0.38,490,168,34.3,12.89,4.42,0.1,0.28,18.3,15,2023,brasil,brasileirao
66,Fluminense,37,29.2,61.6,38,418,3420,38,51,36,87,48,3,5,124,9,49.9,46.0,36.0,82.0,847,1623,1.34,0.95,2.29,1.26,2.21,1.31,0.95,2.26,1.21,2.16,19,13,3,3,29,13,16,42,2.21,30.1,14.1,16.0,0.84,19,1,8,10,11,25,-14,11,0.58,19.4,22.6,-3.2,-0.17,545,202,37.1,14.34,5.32,0.09,0.24,19.4,18,2023,brasil,brasileirao
67,Fortaleza,32,29.7,46.7,38,418,3420,38,44,29,73,39,5,7,97,1,51.5,46.0,35.1,81.1,695,1451,1.16,0.76,1.92,1.03,1.79,1.36,0.92,2.28,1.21,2.13,19,6,6,7,23,22,1,24,1.26,22.7,20.1,2.7,0.14,19,8,3,8,17,17,0,27,1.42,16.0,22.1,-6.0,-0.32,540,181,33.5,14.21,4.76,0.07,0.22,19.1,30,2023,brasil,brasileirao
68,Goiás,42,27.7,44.7,38,418,3420,38,35,22,57,30,5,5,107,6,36.6,32.8,24.5,57.3,523,1284,0.92,0.58,1.5,0.79,1.37,0.96,0.65,1.61,0.86,1.51,19,6,10,3,26,23,3,28,1.47,24.5,20.4,4.1,0.21,19,6,4,9,21,25,-4,22,1.16,16.0,29.3,-13.3,-0.7,492,133,27.0,12.95,3.5,0.06,0.23,18.9,20,2023,brasil,brasileirao
69,Grêmio,44,27.9,46.8,38,418,3420,38,61,45,106,56,5,7,103,5,49.9,44.5,36.4,81.0,541,1541,1.61,1.18,2.79,1.47,2.66,1.31,0.96,2.27,1.17,2.13,19,4,8,7,14,17,-3,20,1.05,27.0,18.2,8.9,0.47,19,7,6,6,21,15,6,27,1.42,21.2,23.6,-2.4,-0.13,500,186,37.2,13.16,4.89,0.11,0.3,18.1,18,2023,brasil,brasileirao
70,Internacional,35,28.5,51.6,38,418,3420,38,45,30,75,42,3,4,111,6,42.4,39.1,29.0,68.1,618,1389,1.18,0.79,1.97,1.11,1.89,1.11,0.76,1.88,1.03,1.79,19,9,2,8,24,23,1,29,1.53,29.5,19.9,9.5,0.5,19,3,7,9,17,28,-11,16,0.84,18.1,26.3,-8.2,-0.43,459,146,31.8,12.08,3.84,0.09,0.29,19.6,23,2023,brasil,brasileirao
71,Palmeiras,33,26.9,52.7,38,418,3420,38,62,44,106,60,2,4,96,4,57.2,54.1,43.1,97.2,788,1593,1.63,1.16,2.79,1.58,2.74,1.5,1.13,2.64,1.42,2.56,19,8,5,6,29,21,8,29,1.53,27.2,21.2,6.0,0.32,19,4,3,12,21,32,-11,15,0.79,23.4,30.0,-6.6,-0.35,609,206,33.8,16.03,5.42,0.1,0.29,18.6,26,2023,brasil,brasileirao
72,Red Bull Bragantino,35,24.2,56.5,38,418,3420,38,48,30,78,45,3,3,109,6,57.9,55.5,39.1,94.6,721,1768,1.26,0.79,2.05,1.18,1.97,1.52,1.03,2.55,1.46,2.49,19,6,7,6,26,28,-2,25,1.32,25.4,21.3,4.1,0.21,19,5,3,11,13,36,-23,18,0.95,17.2,30.2,-13.0,-0.68,635,208,32.8,16.71,5.47,0.07,0.22,19.3,27,2023,brasil,brasileirao
73,Santos,46,26.5,44.5,38,418,3420,38,37,26,63,31,6,6,105,8,42.6,37.9,28.9,66.8,709,1237,0.97,0.68,1.66,0.82,1.5,1.12,0.76,1.88,1.0,1.76,19,5,7,7,19,25,-6,22,1.16,21.2,19.8,1.4,0.07,19,4,4,11,17,28,-11,16,0.84,15.4,26.1,-10.7,-0.56,463,146,31.5,12.18,3.84,0.07,0.21,18.1,29,2023,brasil,brasileirao
74,São Paulo,38,26.7,59.5,38,418,3420,38,40,27,67,35,5,9,107,5,49.5,42.1,33.1,75.2,694,1665,1.05,0.71,1.76,0.92,1.63,1.3,0.87,2.17,1.11,1.98,19,4,4,11,17,28,-11,16,0.84,22.8,25.0,-2.3,-0.12,19,4,2,13,24,45,-21,14,0.74,16.5,35.8,-19.3,-1.02,513,162,31.6,13.5,4.26,0.07,0.22,19.5,20,2023,brasil,brasileirao
75,Vasco da Gama,39,26.2,48.0,38,418,3420,38,41,30,71,37,4,4,101,6,47.6,44.5,32.4,76.9,625,1325,1.08,0.79,1.87,0.97,1.76,1.25,0.85,2.1,1.17,2.02,19,5,2,12,21,38,-17,17,0.89,25.6,28.1,-2.5,-0.13,19,0,7,12,21,43,-22,7,0.37,21.1,34.8,-13.6,-0.72,476,148,31.1,12.53,3.89,0.08,0.25,17.0,30,2023,brasil,brasileirao
76,América (MG),37,29.8,45.9,38,418,3420,38,40,29,69,35,5,7,86,5,45.6,40.8,33.3,74.0,697,1634,1.05,0.76,1.82,0.92,1.68,1.2,0.88,2.07,1.07,1.95,19,13,4,2,39,12,27,43,2.26,41.0,12.8,28.2,1.48,19,10,8,1,27,15,12,38,2.0,28.3,20.4,8.0,0.42,551,182,33.0,14.5,4.79,0.06,0.19,19.3,11,2022,brasil,brasileirao
77,Ath Paranaense,35,24.4,44.1,38,418,3420,38,45,26,71,36,9,11,92,4,47.1,38.7,28.6,67.3,565,1274,1.18,0.68,1.87,0.95,1.63,1.24,0.75,1.99,1.02,1.77,19,13,5,1,40,14,26,44,2.32,34.8,20.9,14.0,0.73,19,7,8,4,18,17,1,29,1.53,21.0,24.2,-3.2,-0.17,496,149,30.0,13.05,3.92,0.07,0.24,21.0,20,2022,brasil,brasileirao
78,Atl Goianiense,33,26.9,50.6,38,418,3420,38,38,25,63,36,2,3,100,6,43.1,40.8,32.0,72.8,705,1531,1.0,0.66,1.66,0.95,1.61,1.13,0.84,1.98,1.07,1.92,19,12,3,4,39,20,19,39,2.05,28.9,15.4,13.5,0.71,19,9,4,6,24,21,3,31,1.63,21.2,24.9,-3.8,-0.2,530,151,28.5,13.95,3.97,0.07,0.24,19.2,11,2022,brasil,brasileirao
79,Atlético Mineiro,32,28.7,58.6,38,418,3420,38,43,27,70,38,5,6,90,0,54.1,49.4,38.4,87.8,694,1820,1.13,0.71,1.84,1.0,1.71,1.42,1.01,2.43,1.3,2.31,19,12,4,3,24,11,13,40,2.11,23.2,16.1,7.0,0.37,19,6,7,6,20,25,-5,25,1.32,17.7,24.9,-7.2,-0.38,585,167,28.5,15.39,4.39,0.06,0.23,19.6,39,2022,brasil,brasileirao
80,Avaí,45,28.7,50.2,38,418,3420,38,34,10,44,21,13,14,104,4,44.0,33.7,24.0,57.7,563,1345,0.89,0.26,1.16,0.55,0.82,1.16,0.63,1.79,0.89,1.52,19,11,3,5,37,15,22,36,1.89,38.2,15.0,23.2,1.22,19,7,5,7,23,24,-1,26,1.37,27.2,20.8,6.3,0.33,428,115,26.9,11.26,3.03,0.05,0.18,21.0,25,2022,brasil,brasileirao
81,Botafogo (RJ),43,27.5,48.7,38,418,3420,38,40,21,61,36,4,4,97,4,40.8,38.2,30.5,68.7,626,1299,1.05,0.55,1.61,0.95,1.5,1.07,0.8,1.88,1.0,1.81,19,11,6,2,31,17,14,39,2.05,27.9,21.1,6.7,0.35,19,5,4,10,17,31,-14,19,1.0,19.2,27.3,-8.1,-0.43,518,168,32.4,13.63,4.42,0.07,0.21,20.0,23,2022,brasil,brasileirao
82,Ceará,40,29.0,50.9,38,418,3420,38,32,12,44,27,5,7,126,10,43.9,38.4,29.8,68.2,610,1472,0.84,0.32,1.16,0.71,1.03,1.16,0.78,1.94,1.01,1.8,19,8,5,6,25,18,7,29,1.53,29.7,15.5,14.2,0.75,19,7,8,4,20,19,1,29,1.53,24.4,18.2,6.2,0.33,517,154,29.8,13.61,4.05,0.05,0.18,19.1,23,2022,brasil,brasileirao
83,Corinthians,42,26.9,54.7,38,418,3420,38,42,28,70,39,3,3,77,3,40.9,38.7,28.7,67.4,606,1493,1.11,0.74,1.84,1.03,1.76,1.08,0.76,1.83,1.02,1.77,19,7,8,4,24,13,11,29,1.53,27.2,16.0,11.1,0.59,19,8,2,9,22,26,-4,26,1.37,17.3,26.9,-9.6,-0.51,446,145,32.5,11.74,3.82,0.09,0.27,18.5,25,2022,brasil,brasileirao
