,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls/90,Ast/90,G+A/90,G-PK/90,G+A-PK,xG/90,xAG/90,xG+xAG,npxG/90,npxG+xAG/90,MP_H,W_H,D_H,L_H,GF_H,GA_H,GD_H,Pts_H,Pts/MP_H,xG_H,xGA_H,xGD_H,xGD/90_H,MP_A,W_A,D_A,L_A,GF_A,GA_A,GD_A,Pts_A,Pts/MP_A,xG_A,xGA_A,xGD_A,xGD/90_A,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,year,country,league
205,Twente,28,25.0,51.2,34,374,3060,34,53,33,86,48,5,6,54,3,53.7,49.4,37.2,86.6,512,1273,1.56,0.97,2.53,1.41,2.38,1.58,1.09,2.68,1.45,2.55,17,6,4,7,25,35,-10,22,1.29,23.3,30.9,-7.6,-0.45,17,3,2,12,16,39,-23,11,0.65,18.5,37.2,-18.7,-1.1,565,167,29.6,16.62,4.91,0.11,0.38,17.5,20,2021,netherlands,eredivisie
206,Utrecht,36,25.6,48.4,34,374,3060,34,49,34,83,44,5,6,53,0,61.6,57.0,44.2,101.2,525,1432,1.44,1.0,2.44,1.29,2.29,1.81,1.3,3.11,1.68,2.98,17,4,6,7,20,25,-5,18,1.06,22.2,23.2,-1.0,-0.06,17,3,2,12,18,31,-13,11,0.65,22.3,34.4,-12.1,-0.71,448,151,33.7,13.18,4.44,0.1,0.31,16.3,9,2021,netherlands,eredivisie
207,Vitesse,29,23.9,52.1,34,374,3060,34,42,27,69,39,3,4,69,6,48.8,46.2,32.4,78.5,529,1257,1.24,0.79,2.03,1.15,1.94,1.44,0.95,2.39,1.36,2.31,19,6,7,6,37,29,8,25,1.32,28.7,23.2,5.4,0.32,19,3,4,12,28,53,-25,13,0.68,17.1,34.9,-17.8,-1.05,447,145,32.4,13.15,4.26,0.06,0.19,17.2,10,2021,netherlands,eredivisie
208,Willem II,33,24.7,45.1,34,374,3060,34,30,23,53,30,0,0,42,6,35.3,35.3,25.0,60.3,571,1101,0.88,0.68,1.56,0.88,1.56,1.04,0.74,1.77,1.04,1.77,17,3,2,12,16,44,-28,11,0.65,22.2,34.5,-12.3,-0.72,17,1,5,11,18,44,-26,8,0.47,14.4,40.1,-25.7,-1.51,341,116,34.0,10.03,3.41,0.09,0.28,16.3,7,2021,netherlands,eredivisie
209,Zwolle,32,25.2,50.3,34,374,3060,34,26,21,47,23,3,4,50,2,39.9,36.8,29.8,66.6,622,1288,0.76,0.62,1.38,0.68,1.29,1.17,0.88,2.05,1.08,1.96,17,2,6,9,15,30,-15,12,0.71,22.4,30.6,-8.2,-0.48,17,4,0,13,15,44,-29,12,0.71,15.3,33.6,-18.2,-1.07,427,160,37.5,12.56,4.71,0.1,0.27,17.9,14,2021,netherlands,eredivisie
210,América,33,27.3,55.3,34,374,3060,34,67,51,118,62,5,7,63,3,62.3,57.4,47.9,105.3,679,1531,1.97,1.5,3.47,1.82,3.32,1.83,1.41,3.24,1.69,3.1,17,12,4,1,40,14,26,40,2.35,36.3,14.6,21.7,1.28,17,10,5,2,27,12,15,35,2.06,26.1,16.8,9.3,0.55,464,179,38.6,13.65,5.26,0.13,0.35,16.9,16,2023,mexico,liga_mx
211,Atlas,30,27.9,50.7,34,374,3060,34,35,23,58,33,2,3,91,12,40.9,38.4,28.1,66.5,460,1119,1.03,0.68,1.71,0.97,1.65,1.2,0.83,2.03,1.13,1.96,17,11,3,3,34,18,16,36,2.12,27.4,14.3,13.1,0.77,17,8,5,4,25,16,9,29,1.71,19.6,20.5,-0.8,-0.05,448,142,31.7,13.18,4.18,0.07,0.23,18.9,18,2023,mexico,liga_mx
212,Atlético,32,28.0,53.1,34,374,3060,34,54,34,88,49,5,7,78,5,42.5,37.0,27.4,64.3,586,1364,1.59,1.0,2.59,1.44,2.44,1.25,0.8,2.05,1.09,1.89,17,10,6,1,38,18,20,36,2.12,26.9,15.7,11.2,0.66,17,7,4,6,28,23,5,25,1.47,24.2,23.8,0.4,0.03,460,152,33.0,13.53,4.47,0.11,0.32,19.1,18,2023,mexico,liga_mx
213,Cruz Azul,36,26.6,57.6,34,374,3060,34,43,30,73,38,5,7,85,4,52.8,47.3,35.4,82.7,627,1477,1.26,0.88,2.15,1.12,2.0,1.55,1.04,2.59,1.39,2.43,17,10,3,4,28,20,8,33,1.94,24.2,18.3,5.9,0.35,17,7,4,6,18,19,-1,25,1.47,19.7,20.8,-1.1,-0.07,512,157,30.7,15.06,4.62,0.07,0.24,18.6,13,2023,mexico,liga_mx
214,FC Juárez,41,28.0,47.9,34,374,3060,34,42,30,72,36,6,6,88,4,35.6,31.1,24.2,55.3,549,1184,1.24,0.88,2.12,1.06,1.94,1.05,0.71,1.76,0.91,1.63,17,11,5,1,32,12,20,38,2.24,29.4,13.0,16.4,0.97,17,4,5,8,22,28,-6,17,1.0,19.2,26.9,-7.7,-0.45,446,132,29.6,13.12,3.88,0.08,0.27,20.5,17,2023,mexico,liga_mx
215,Guadalajara,35,25.8,50.7,34,374,3060,34,44,27,71,36,8,10,87,5,43.8,36.0,28.1,64.0,630,1437,1.29,0.79,2.09,1.06,1.85,1.29,0.83,2.11,1.06,1.88,17,11,3,3,36,14,22,36,2.12,34.1,16.8,17.3,1.02,17,3,8,6,25,28,-3,17,1.0,21.4,27.0,-5.6,-0.33,420,127,30.2,12.35,3.74,0.09,0.28,19.4,11,2023,mexico,liga_mx
216,León,34,28.2,51.7,34,374,3060,34,44,31,75,40,4,4,62,8,47.5,44.4,34.2,78.6,590,1289,1.29,0.91,2.21,1.18,2.09,1.4,1.01,2.4,1.3,2.31,17,7,5,5,27,27,0,26,1.53,25.3,20.4,4.9,0.29,17,7,4,6,23,27,-4,25,1.47,23.2,27.0,-3.8,-0.23,524,179,34.2,15.41,5.26,0.08,0.22,18.5,12,2023,mexico,liga_mx
217,Mazatlán,36,27.0,48.1,34,374,3060,34,45,31,76,43,2,4,74,8,45.3,42.2,32.9,75.1,540,1229,1.32,0.91,2.24,1.26,2.18,1.33,0.97,2.3,1.24,2.21,17,8,2,7,25,23,2,26,1.53,29.9,18.2,11.7,0.69,17,7,3,7,19,20,-1,24,1.41,22.9,21.9,1.0,0.06,426,154,36.2,12.53,4.53,0.1,0.28,19.1,14,2023,mexico,liga_mx
218,Monterrey,37,28.1,53.9,34,374,3060,34,58,47,105,55,3,4,67,5,47.0,43.8,34.0,77.8,556,1671,1.71,1.38,3.09,1.62,3.0,1.38,1.0,2.38,1.29,2.29,17,9,3,5,25,18,7,30,1.76,24.9,21.5,3.4,0.2,17,4,5,8,21,29,-8,17,1.0,22.6,21.3,1.3,0.07,440,142,32.3,12.94,4.18,0.13,0.39,18.6,14,2023,mexico,liga_mx
219,Necaxa,36,25.1,37.5,34,374,3060,34,48,37,85,45,3,4,92,6,38.0,34.8,28.7,63.5,384,938,1.41,1.09,2.5,1.32,2.41,1.12,0.84,1.96,1.02,1.87,17,3,8,6,18,21,-3,17,1.0,19.1,23.1,-4.0,-0.24,17,8,2,7,22,29,-7,26,1.53,19.2,28.4,-9.2,-0.54,374,132,35.3,11.0,3.88,0.12,0.34,18.8,10,2023,mexico,liga_mx
220,Pachuca,42,24.8,49.7,34,374,3060,34,49,37,86,47,2,4,87,2,48.5,45.4,36.9,82.2,673,1421,1.44,1.09,2.53,1.38,2.47,1.43,1.08,2.51,1.33,2.42,17,6,5,6,24,24,0,23,1.35,22.9,19.9,3.0,0.17,17,4,7,6,24,32,-8,19,1.12,15.1,26.7,-11.7,-0.69,570,184,32.3,16.76,5.41,0.08,0.26,20.8,20,2023,mexico,liga_mx
221,Puebla,31,29.0,48.9,34,374,3060,34,40,28,68,37,3,3,83,4,37.9,35.5,27.6,63.1,546,1106,1.18,0.82,2.0,1.09,1.91,1.11,0.81,1.93,1.04,1.86,17,8,2,7,34,26,8,26,1.53,23.8,22.7,1.2,0.07,17,4,1,12,22,35,-13,13,0.76,18.7,27.7,-9.1,-0.53,462,147,31.8,13.59,4.32,0.08,0.25,19.7,10,2023,mexico,liga_mx
222,Querétaro,36,28.8,37.5,34,374,3060,34,38,27,65,34,4,5,100,9,38.3,34.4,26.3,60.7,366,876,1.12,0.79,1.91,1.0,1.79,1.13,0.77,1.9,1.01,1.78,17,7,4,6,24,24,0,25,1.47,23.3,26.0,-2.7,-0.16,17,3,4,10,22,35,-13,13,0.76,22.0,26.8,-4.8,-0.28,387,108,27.9,11.38,3.18,0.09,0.31,18.5,17,2023,mexico,liga_mx
223,Santos,37,25.3,47.1,34,374,3060,34,45,32,77,40,5,6,82,6,44.6,40.0,33.0,73.0,498,1155,1.32,0.94,2.26,1.18,2.12,1.31,0.97,2.28,1.18,2.15,17,8,2,7,24,25,-1,26,1.53,25.3,22.3,3.0,0.17,17,3,3,11,22,37,-15,12,0.71,19.2,33.0,-13.8,-0.81,424,137,32.3,12.47,4.03,0.09,0.29,19.0,31,2023,mexico,liga_mx
224,Tijuana,34,27.0,47.9,34,374,3060,34,43,23,66,36,7,8,79,4,41.4,35.4,26.5,61.9,575,1369,1.26,0.68,1.94,1.06,1.74,1.22,0.78,2.0,1.04,1.82,17,7,6,4,31,23,8,27,1.59,25.2,18.3,6.9,0.41,17,1,4,12,13,33,-20,7,0.41,16.2,30.8,-14.5,-0.85,501,140,27.9,14.74,4.12,0.07,0.26,20.1,17,2023,mexico,liga_mx
225,Toluca,30,27.0,56.8,34,374,3060,34,60,42,102,51,9,11,77,6,55.5,46.9,37.5,84.5,634,1516,1.76,1.24,3.0,1.5,2.74,1.63,1.1,2.74,1.38,2.48,17,5,6,6,23,26,-3,21,1.24,20.5,24.1,-3.6,-0.21,17,4,1,12,20,34,-14,13,0.76,15.0,24.2,-9.1,-0.54,453,155,34.2,13.32,4.56,0.11,0.33,17.5,11,2023,mexico,liga_mx
226,UANL,31,29.8,56.0,34,374,3060,34,66,50,116,60,6,7,75,3,51.1,45.7,36.6,82.3,598,1569,1.94,1.47,3.41,1.76,3.24,1.5,1.08,2.58,1.34,2.42,17,5,4,8,18,22,-4,19,1.12,26.1,20.1,6.0,0.35,17,2,6,9,17,33,-16,12,0.71,14.8,27.0,-12.2,-0.72,457,152,33.3,13.44,4.47,0.13,0.39,18.9,14,2023,mexico,liga_mx
227,UNAM,32,27.2,49.7,34,374,3060,34,52,34,86,44,8,8,98,4,48.7,42.4,32.4,74.8,589,1276,1.53,1.0,2.53,1.29,2.29,1.43,0.95,2.38,1.25,2.2,17,4,3,10,24,33,-9,15,0.88,20.1,27.7,-7.6,-0.45,17,4,3,10,18,35,-17,15,0.88,17.8,34.3,-16.4,-0.97,488,149,30.5,14.35,4.38,0.09,0.3,18.6,15,2023,mexico,liga_mx
228,América,31,27.8,56.6,34,374,3060,34,73,53,126,68,5,6,63,0,55.8,51.1,42.1,93.2,654,1697,2.15,1.56,3.71,2.0,3.56,1.64,1.24,2.88,1.5,2.74,17,12,4,1,40,14,26,40,2.35,36.3,14.6,21.7,1.28,17,10,5,2,27,12,15,35,2.06,26.1,16.8,9.3,0.55,464,179,38.6,13.65,5.26,0.13,0.35,16.9,16,2022,mexico,liga_mx
229,Atlas,30,27.9,51.2,34,374,3060,34,42,26,68,38,4,5,74,6,43.5,39.5,31.1,70.6,441,1189,1.24,0.76,2.0,1.12,1.88,1.28,0.91,2.19,1.16,2.08,17,11,3,3,34,18,16,36,2.12,27.4,14.3,13.1,0.77,17,8,5,4,25,16,9,29,1.71,19.6,20.5,-0.8,-0.05,448,142,31.7,13.18,4.18,0.07,0.23,18.9,18,2022,mexico,liga_mx
230,Atlético,33,27.8,44.7,34,374,3060,34,27,20,47,23,4,5,80,4,34.2,30.2,24.2,54.5,477,1069,0.79,0.59,1.38,0.68,1.26,1.01,0.71,1.72,0.89,1.6,17,10,6,1,38,18,20,36,2.12,26.9,15.7,11.2,0.66,17,7,4,6,28,23,5,25,1.47,24.2,23.8,0.4,0.03,460,152,33.0,13.53,4.47,0.11,0.32,19.1,18,2022,mexico,liga_mx
231,Cruz Azul,31,27.9,47.3,34,374,3060,34,46,32,78,39,7,8,79,8,40.7,34.4,27.8,62.2,478,1203,1.35,0.94,2.29,1.15,2.09,1.2,0.82,2.01,1.01,1.83,17,10,3,4,28,20,8,33,1.94,24.2,18.3,5.9,0.35,17,7,4,6,18,19,-1,25,1.47,19.7,20.8,-1.1,-0.07,512,157,30.7,15.06,4.62,0.07,0.24,18.6,13,2022,mexico,liga_mx
232,FC Juárez,36,29.7,50.5,34,374,3060,34,34,21,55,32,2,5,86,8,35.0,31.0,22.2,53.2,526,1237,1.0,0.62,1.62,0.94,1.56,1.03,0.65,1.68,0.91,1.57,17,11,5,1,32,12,20,38,2.24,29.4,13.0,16.4,0.97,17,4,5,8,22,28,-6,17,1.0,19.2,26.9,-7.7,-0.45,446,132,29.6,13.12,3.88,0.08,0.27,20.5,17,2022,mexico,liga_mx
233,Guadalajara,31,26.0,49.1,34,374,3060,34,44,31,75,39,5,8,78,7,45.4,39.0,29.8,68.8,619,1288,1.29,0.91,2.21,1.15,2.06,1.33,0.88,2.21,1.15,2.02,17,11,3,3,36,14,22,36,2.12,34.1,16.8,17.3,1.02,17,3,8,6,25,28,-3,17,1.0,21.4,27.0,-5.6,-0.33,420,127,30.2,12.35,3.74,0.09,0.28,19.4,11,2022,mexico,liga_mx
234,León,30,27.3,51.5,34,374,3060,34,46,33,79,44,2,2,77,12,44.7,43.2,33.9,77.1,645,1254,1.35,0.97,2.32,1.29,2.26,1.32,1.0,2.31,1.27,2.27,17,7,5,5,27,27,0,26,1.53,25.3,20.4,4.9,0.29,17,7,4,6,23,27,-4,25,1.47,23.2,27.0,-3.8,-0.23,524,179,34.2,15.41,5.26,0.08,0.22,18.5,12,2022,mexico,liga_mx
235,Mazatlán,31,27.5,47.4,34,374,3060,34,33,21,54,32,1,3,85,4,32.3,30.0,21.9,51.9,484,1133,0.97,0.62,1.59,0.94,1.56,0.95,0.64,1.59,0.88,1.53,17,8,2,7,25,23,2,26,1.53,29.9,18.2,11.7,0.69,17,7,3,7,19,20,-1,24,1.41,22.9,21.9,1.0,0.06,426,154,36.2,12.53,4.53,0.1,0.28,19.1,14,2022,mexico,liga_mx
236,Monterrey,32,28.4,48.4,34,374,3060,34,63,48,111,58,5,9,80,2,57.0,50.0,41.2,91.2,491,1212,1.85,1.41,3.26,1.71,3.12,1.68,1.21,2.89,1.47,2.68,17,9,3,5,25,18,7,30,1.76,24.9,21.5,3.4,0.2,17,4,5,8,21,29,-8,17,1.0,22.6,21.3,1.3,0.07,440,142,32.3,12.94,4.18,0.13,0.39,18.6,14,2022,mexico,liga_mx
237,Necaxa,32,26.7,46.2,34,374,3060,34,33,22,55,30,3,4,91,2,32.2,29.1,21.5,50.7,429,1074,0.97,0.65,1.62,0.88,1.53,0.95,0.63,1.58,0.86,1.49,17,3,8,6,18,21,-3,17,1.0,19.1,23.1,-4.0,-0.24,17,8,2,7,22,29,-7,26,1.53,19.2,28.4,-9.2,-0.54,374,132,35.3,11.0,3.88,0.12,0.34,18.8,10,2022,mexico,liga_mx
238,Pachuca,29,27.0,55.1,34,374,3060,34,58,39,97,53,5,6,72,4,51.8,47.1,35.4,82.5,765,1426,1.71,1.15,2.85,1.56,2.71,1.52,1.04,2.56,1.38,2.43,17,6,5,6,24,24,0,23,1.35,22.9,19.9,3.0,0.17,17,4,7,6,24,32,-8,19,1.12,15.1,26.7,-11.7,-0.69,570,184,32.3,16.76,5.41,0.08,0.26,20.8,20,2022,mexico,liga_mx
239,Puebla,36,28.6,49.2,34,374,3060,34,50,41,91,46,4,4,97,2,41.0,38.0,30.1,68.1,536,1107,1.47,1.21,2.68,1.35,2.56,1.2,0.89,2.09,1.12,2.0,17,8,2,7,34,26,8,26,1.53,23.8,22.7,1.2,0.07,17,4,1,12,22,35,-13,13,0.76,18.7,27.7,-9.1,-0.53,462,147,31.8,13.59,4.32,0.08,0.25,19.7,10,2022,mexico,liga_mx
240,Querétaro,38,28.6,46.1,34,374,3060,34,33,24,57,29,4,6,83,3,36.5,31.8,26.2,58.0,430,1061,0.97,0.71,1.68,0.85,1.56,1.07,0.77,1.84,0.94,1.71,17,7,4,6,24,24,0,25,1.47,23.3,26.0,-2.7,-0.16,17,3,4,10,22,35,-13,13,0.76,22.0,26.8,-4.8,-0.28,387,108,27.9,11.38,3.18,0.09,0.31,18.5,17,2022,mexico,liga_mx
241,Santos,32,25.8,46.4,34,374,3060,34,61,37,98,51,10,10,68,6,52.6,44.7,30.5,75.2,567,1232,1.79,1.09,2.88,1.5,2.59,1.55,0.9,2.44,1.32,2.21,17,8,2,7,24,25,-1,26,1.53,25.3,22.3,3.0,0.17,17,3,3,11,22,37,-15,12,0.71,19.2,33.0,-13.8,-0.81,424,137,32.3,12.47,4.03,0.09,0.29,19.0,31,2022,mexico,liga_mx
242,Tijuana,33,28.1,48.0,34,374,3060,34,32,17,49,27,5,7,86,7,39.9,34.6,26.6,61.3,562,1326,0.94,0.5,1.44,0.79,1.29,1.17,0.78,1.96,1.02,1.8,17,7,6,4,31,23,8,27,1.59,25.2,18.3,6.9,0.41,17,1,4,12,13,33,-20,7,0.41,16.2,30.8,-14.5,-0.85,501,140,27.9,14.74,4.12,0.07,0.26,20.1,17,2022,mexico,liga_mx
243,Toluca,33,28.3,58.6,34,374,3060,34,60,42,102,49,11,11,74,8,53.1,44.9,35.2,80.0,564,1371,1.76,1.24,3.0,1.44,2.68,1.56,1.03,2.6,1.32,2.35,17,5,6,6,23,26,-3,21,1.24,20.5,24.1,-3.6,-0.21,17,4,1,12,20,34,-14,13,0.76,15.0,24.2,-9.1,-0.54,453,155,34.2,13.32,4.56,0.11,0.33,17.5,11,2022,mexico,liga_mx
244,UANL,36,29.7,55.1,34,374,3060,34,43,32,75,39,4,5,90,10,47.3,43.6,34.9,78.5,649,1545,1.26,0.94,2.21,1.15,2.09,1.39,1.03,2.42,1.28,2.31,17,5,4,8,18,22,-4,19,1.12,26.1,20.1,6.0,0.35,17,2,6,9,17,33,-16,12,0.71,14.8,27.0,-12.2,-0.72,457,152,33.3,13.44,4.47,0.13,0.39,18.9,14,2022,mexico,liga_mx
245,UNAM,34,27.7,48.5,34,374,3060,34,44,34,78,40,4,5,85,8,47.7,44.0,32.5,76.5,570,1162,1.29,1.0,2.29,1.18,2.18,1.4,0.96,2.36,1.29,2.25,17,4,3,10,24,33,-9,15,0.88,20.1,27.7,-7.6,-0.45,17,4,3,10,18,35,-17,15,0.88,17.8,34.3,-16.4,-0.97,488,149,30.5,14.35,4.38,0.09,0.3,18.6,15,2022,mexico,liga_mx
246,América,33,27.4,51.0,34,374,3060,34,44,28,72,39,5,6,64,9,46.8,42.1,32.3,74.4,572,1119,1.29,0.82,2.12,1.15,1.97,1.38,0.95,2.33,1.24,2.19,17,12,4,1,40,14,26,40,2.35,36.3,14.6,21.7,1.28,17,10,5,2,27,12,15,35,2.06,26.1,16.8,9.3,0.55,464,179,38.6,13.65,5.26,0.13,0.35,16.9,16,2021,mexico,liga_mx
247,Atlas,23,27.2,51.4,34,374,3060,34,39,29,68,36,3,7,76,6,39.4,33.8,26.5,60.3,416,1150,1.15,0.85,2.0,1.06,1.91,1.16,0.78,1.94,0.99,1.77,17,11,3,3,34,18,16,36,2.12,27.4,14.3,13.1,0.77,17,8,5,4,25,16,9,29,1.71,19.6,20.5,-0.8,-0.05,448,142,31.7,13.18,4.18,0.07,0.23,18.9,18,2021,mexico,liga_mx
248,Atlético,31,26.7,44.3,34,374,3060,34,38,25,63,32,6,10,78,5,47.6,39.7,30.7,70.4,395,1029,1.12,0.74,1.85,0.94,1.68,1.4,0.9,2.3,1.17,2.07,17,10,6,1,38,18,20,36,2.12,26.9,15.7,11.2,0.66,17,7,4,6,28,23,5,25,1.47,24.2,23.8,0.4,0.03,460,152,33.0,13.53,4.47,0.11,0.32,19.1,18,2021,mexico,liga_mx
249,Cruz Azul,38,28.6,49.1,34,374,3060,34,39,24,63,32,7,9,88,4,38.9,31.6,25.7,57.3,416,1130,1.15,0.71,1.85,0.94,1.65,1.14,0.75,1.9,0.93,1.68,17,10,3,4,28,20,8,33,1.94,24.2,18.3,5.9,0.35,17,7,4,6,18,19,-1,25,1.47,19.7,20.8,-1.1,-0.07,512,157,30.7,15.06,4.62,0.07,0.24,18.6,13,2021,mexico,liga_mx
250,FC Juárez,41,28.3,47.3,34,374,3060,34,24,15,39,20,4,7,70,6,29.2,23.5,19.4,42.9,475,996,0.71,0.44,1.15,0.59,1.03,0.86,0.57,1.43,0.69,1.26,17,11,5,1,32,12,20,38,2.24,29.4,13.0,16.4,0.97,17,4,5,8,22,28,-6,17,1.0,19.2,26.9,-7.7,-0.45,446,132,29.6,13.12,3.88,0.08,0.27,20.5,17,2021,mexico,liga_mx
251,Guadalajara,35,25.9,54.7,34,374,3060,34,36,21,57,31,5,5,75,7,35.2,31.3,22.9,54.2,541,1169,1.06,0.62,1.68,0.91,1.53,1.04,0.67,1.71,0.92,1.6,17,11,3,3,36,14,22,36,2.12,34.1,16.8,17.3,1.02,17,3,8,6,25,28,-3,17,1.0,21.4,27.0,-5.6,-0.33,420,127,30.2,12.35,3.74,0.09,0.28,19.4,11,2021,mexico,liga_mx
252,León,31,28.8,56.6,34,374,3060,34,35,21,56,30,5,8,82,9,50.4,44.2,34.2,78.4,561,1423,1.03,0.62,1.65,0.88,1.5,1.48,1.01,2.49,1.3,2.31,17,7,5,5,27,27,0,26,1.53,25.3,20.4,4.9,0.29,17,7,4,6,23,27,-4,25,1.47,23.2,27.0,-3.8,-0.23,524,179,34.2,15.41,5.26,0.08,0.22,18.5,12,2021,mexico,liga_mx
253,Mazatlán,33,27.6,44.5,34,366,3060,34,36,23,59,31,5,6,89,6,31.5,26.8,21.1,47.9,364,861,1.06,0.68,1.74,0.91,1.59,0.93,0.62,1.55,0.79,1.41,17,8,2,7,25,23,2,26,1.53,29.9,18.2,11.7,0.69,17,7,3,7,19,20,-1,24,1.41,22.9,21.9,1.0,0.06,426,154,36.2,12.53,4.53,0.1,0.28,19.1,14,2021,mexico,liga_mx
254,Monterrey,31,27.5,50.8,34,374,3060,34,40,29,69,38,2,7,72,9,50.9,45.4,34.5,79.9,550,1359,1.18,0.85,2.03,1.12,1.97,1.5,1.01,2.51,1.34,2.35,17,9,3,5,25,18,7,30,1.76,24.9,21.5,3.4,0.2,17,4,5,8,21,29,-8,17,1.0,22.6,21.3,1.3,0.07,440,142,32.3,12.94,4.18,0.13,0.39,18.6,14,2021,mexico,liga_mx
255,Necaxa,37,26.2,50.3,34,374,3060,34,35,27,62,31,4,5,78,3,41.4,37.5,28.8,66.3,541,1182,1.03,0.79,1.82,0.91,1.71,1.22,0.85,2.06,1.1,1.95,17,3,8,6,18,21,-3,17,1.0,19.1,23.1,-4.0,-0.24,17,8,2,7,22,29,-7,26,1.53,19.2,28.4,-9.2,-0.54,374,132,35.3,11.0,3.88,0.12,0.34,18.8,10,2021,mexico,liga_mx
256,Pachuca,31,27.7,50.3,34,374,3060,34,46,33,79,42,4,5,63,6,51.1,47.3,35.9,83.2,627,1290,1.35,0.97,2.32,1.24,2.21,1.5,1.06,2.56,1.39,2.45,17,6,5,6,24,24,0,23,1.35,22.9,19.9,3.0,0.17,17,4,7,6,24,32,-8,19,1.12,15.1,26.7,-11.7,-0.69,570,184,32.3,16.76,5.41,0.08,0.26,20.8,20,2021,mexico,liga_mx
257,Puebla,31,27.6,50.0,34,374,3060,34,40,22,62,31,9,10,93,8,49.0,41.1,30.2,71.3,531,948,1.18,0.65,1.82,0.91,1.56,1.44,0.89,2.33,1.21,2.1,17,8,2,7,34,26,8,26,1.53,23.8,22.7,1.2,0.07,17,4,1,12,22,35,-13,13,0.76,18.7,27.7,-9.1,-0.53,462,147,31.8,13.59,4.32,0.08,0.25,19.7,10,2021,mexico,liga_mx
258,Querétaro,41,28.7,47.6,34,374,3060,34,27,15,42,23,4,5,81,8,39.1,35.0,26.6,61.7,436,972,0.79,0.44,1.24,0.68,1.12,1.15,0.78,1.93,1.03,1.81,17,7,4,6,24,24,0,25,1.47,23.3,26.0,-2.7,-0.16,17,3,4,10,22,35,-13,13,0.76,22.0,26.8,-4.8,-0.28,387,108,27.9,11.38,3.18,0.09,0.31,18.5,17,2021,mexico,liga_mx
259,Santos,31,25.4,49.1,34,374,3060,34,46,27,73,38,8,9,67,5,47.4,40.4,30.1,70.5,538,1142,1.35,0.79,2.15,1.12,1.91,1.39,0.88,2.28,1.19,2.07,17,8,2,7,24,25,-1,26,1.53,25.3,22.3,3.0,0.17,17,3,3,11,22,37,-15,12,0.71,19.2,33.0,-13.8,-0.81,424,137,32.3,12.47,4.03,0.09,0.29,19.0,31,2021,mexico,liga_mx
260,Tijuana,35,27.0,47.7,34,374,3060,34,27,16,43,23,4,7,81,4,41.7,36.6,26.7,63.3,491,1173,0.79,0.47,1.26,0.68,1.15,1.23,0.78,2.01,1.08,1.86,17,7,6,4,31,23,8,27,1.59,25.2,18.3,6.9,0.41,17,1,4,12,13,33,-20,7,0.41,16.2,30.8,-14.5,-0.85,501,140,27.9,14.74,4.12,0.07,0.26,20.1,17,2021,mexico,liga_mx
261,Toluca,35,27.2,52.0,34,374,3060,34,41,27,68,36,5,8,86,5,41.7,35.4,28.3,63.6,440,1089,1.21,0.79,2.0,1.06,1.85,1.23,0.83,2.06,1.04,1.87,17,5,6,6,23,26,-3,21,1.24,20.5,24.1,-3.6,-0.21,17,4,1,12,20,34,-14,13,0.76,15.0,24.2,-9.1,-0.54,453,155,34.2,13.32,4.56,0.11,0.33,17.5,11,2021,mexico,liga_mx
262,UANL,29,30.2,54.9,34,374,3060,34,56,40,96,51,5,6,65,6,50.6,46.0,35.6,81.6,782,1484,1.65,1.18,2.82,1.5,2.68,1.49,1.05,2.54,1.35,2.4,17,5,4,8,18,22,-4,19,1.12,26.1,20.1,6.0,0.35,17,2,6,9,17,33,-16,12,0.71,14.8,27.0,-12.2,-0.72,457,152,33.3,13.44,4.47,0.13,0.39,18.9,14,2021,mexico,liga_mx
263,UNAM,35,27.3,48.5,34,374,3060,34,41,28,69,39,2,3,73,8,41.3,38.9,32.2,71.1,552,1153,1.21,0.82,2.03,1.15,1.97,1.21,0.95,2.16,1.14,2.09,17,4,3,10,24,33,-9,15,0.88,20.1,27.7,-7.6,-0.45,17,4,3,10,18,35,-17,15,0.88,17.8,34.3,-16.4,-0.97,488,149,30.5,14.35,4.38,0.09,0.3,18.6,15,2021,mexico,liga_mx
264,América,32,26.3,52.1,34,374,3060,34,57,37,94,49,8,9,49,5,47.1,40.7,27.9,68.6,596,1044,1.68,1.09,2.76,1.44,2.53,1.38,0.82,2.2,1.2,2.02,17,12,4,1,40,14,26,40,2.35,36.3,14.6,21.7,1.28,17,10,5,2,27,12,15,35,2.06,26.1,16.8,9.3,0.55,464,179,38.6,13.65,5.26,0.13,0.35,16.9,16,2020,mexico,liga_mx
265,Atlas,32,27.3,48.5,34,374,3060,34,29,12,41,23,6,8,70,8,40.5,34.4,25.6,60.0,514,1097,0.85,0.35,1.21,0.68,1.03,1.19,0.75,1.94,1.01,1.76,17,11,3,3,34,18,16,36,2.12,27.4,14.3,13.1,0.77,17,8,5,4,25,16,9,29,1.71,19.6,20.5,-0.8,-0.05,448,142,31.7,13.18,4.18,0.07,0.23,18.9,18,2020,mexico,liga_mx
